Confirmed,DayElapsed,Region
136,38,Tianjin
136,37,Tianjin
136,36,Tianjin
136,35,Tianjin
136,34,Tianjin
136,33,Tianjin
136,32,Tianjin
136,31,Tianjin
136,30,Tianjin
136,29,Tianjin
136,28,Tianjin
136,27,Tianjin
136,26,Tianjin
136,25,Tianjin
136,24,Tianjin
136,23,Tianjin
136,22,Tianjin
136,21,Tianjin
136,20,Tianjin
136,19,Tianjin
136,18,Tianjin
135,17,Tianjin
135,16,Tianjin
135,15,Tianjin
135,14,Tianjin
135,13,Tianjin
135,12,Tianjin
132,11,Tianjin
130,10,Tianjin
128,9,Tianjin
127,8,Tianjin
125,7,Tianjin
124,6,Tianjin
121,5,Tianjin
120,4,Tianjin
117,3,Tianjin
110,2,Tianjin
104,1,Tianjin
127,46,Liaoning
127,45,Liaoning
126,44,Liaoning
126,43,Liaoning
126,42,Liaoning
125,41,Liaoning
125,40,Liaoning
125,39,Liaoning
125,38,Liaoning
125,37,Liaoning
125,36,Liaoning
125,35,Liaoning
125,34,Liaoning
125,33,Liaoning
125,32,Liaoning
125,31,Liaoning
125,30,Liaoning
125,29,Liaoning
125,28,Liaoning
125,27,Liaoning
125,26,Liaoning
125,25,Liaoning
122,24,Liaoning
121,23,Liaoning
121,22,Liaoning
121,21,Liaoning
121,20,Liaoning
